property_id,domain,name,owasp_agentic,owasp_llm,mitre_atlas,skil_controls,skil_status
ASP-14.01,"Auditability, Observability & Accountability",Action Attribution,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,Enforcer decision-record (capability/target attribution),PARTIAL
ASP-14.02,"Auditability, Observability & Accountability",Authorization Decision Traceability,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,Enforcer decision-record audit trail,IMPLEMENTED
ASP-14.03,"Auditability, Observability & Accountability",Security Event Completeness,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,SKIL-TAINT-LOG,PARTIAL
ASP-14.04,"Auditability, Observability & Accountability",Tamper-Evident Audit Records,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,,NEW
ASP-14.05,"Auditability, Observability & Accountability",Artifact & Version Attribution,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,Enforcer decision-record artifact_digest/contract_digest,PARTIAL
ASP-14.06,"Auditability, Observability & Accountability",Evidence-Chain Reproducibility,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,SKIL-* finding evidence model,PARTIAL
ASP-14.07,"Auditability, Observability & Accountability",Failure & Denial Auditability,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,Enforcer decision-record deny+reason,IMPLEMENTED
ASP-14.08,"Auditability, Observability & Accountability",Coverage & Unknown-State Reporting,ASI03;ASI07;ASI08;ASI10,LLM06;LLM09,,Provider coverage reporting,PARTIAL
ASP-15.01,"Dependency, Package & Container Supply-Chain Security",Dependency Pinning,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-DEP-001,IMPLEMENTED
ASP-15.02,"Dependency, Package & Container Supply-Chain Security",Known Vulnerability Hygiene,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-DEP-VULN,PROVIDER_BACKED
ASP-15.03,"Dependency, Package & Container Supply-Chain Security",Package Identity & Typosquatting Resistance,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-DEP-002;SKIL-UNI-002,IMPLEMENTED
ASP-15.04,"Dependency, Package & Container Supply-Chain Security",Dependency Maintenance & Reputation,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-DEP-ABANDONED,PROVIDER_BACKED
ASP-15.05,"Dependency, Package & Container Supply-Chain Security",Dependency Namespace/Confusion Resistance,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,,NEW
ASP-15.06,"Dependency, Package & Container Supply-Chain Security",Lockfile Integrity,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,,NEW
ASP-15.07,"Dependency, Package & Container Supply-Chain Security",Remote Script & Runtime Dependency Integrity,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-SH-001,PARTIAL
ASP-15.08,"Dependency, Package & Container Supply-Chain Security",Container Image Trust,ASI04;ASI05,LLM03,AI Supply Chain Rug Pull;AI Supply Chain Reputation Inflation,SKIL-CONTAINER-TRUST;SKIL-BOUNDARY-MUTABLE-IMAGE,IMPLEMENTED
